央视,#genre#  
兵团卫视,http://117.148.179.162/PLTV/88888888/224/3221231469/index.m3u8
西藏藏语卫视,http://media.vtibet.com/masvod/HLSLive/7/zangyuTV_q1.m3u8
西藏卫视,http://117.169.120.140:8080/live/xizangstv/.m3u8
新疆卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225725/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225723/index.m3u8

61杂源,#genre#
爱院线IHOT(高清),http://111.11.123.49:6610/000000001000/6000000006000030630/1.m3u8?Contentid=6000000006000030630&livemode=1&stbId=3&channel-id=wasusyt
Animax,http://61.219.170.95:18550/.m3u8
Animax,http://61.219.170.95:18550/http/192.168.1.9:8081/hls/70/812/ch39.m3u8
AXN,http://61.219.170.95:18548/http/192.168.1.9:8081/hls/71/813/ch43.m3u8
AXN,http://61.219.170.95:18548/.m3u8
CNBC,http://61.219.170.95:18551/.m3u8
MOMO 综合,http://61.219.170.95:18576/http/192.168.1.9:8081/hls/76/818/momo_max.m3u8
MOMO综合,http://61.219.170.95:18576/.m3u8
NHK世界,http://61.219.170.95:18525/http/192.168.1.9:8081/hls/62/804/ch06.m3u8
Star World,http://61.219.170.95:18504/.m3u8
Star World,http://61.219.170.95:18504/http/192.168.1.9:8081/hls/61/803/ch02.m3u8
八大第一,http://61.219.170.95:18539/.m3u8
八大第一,http://61.219.170.95:18539/http/192.168.1.9:8081/hls/66/808/ch22.m3u8
八大综合,http://61.219.170.95:18517/.m3u8
大爱,http://61.219.170.95:18567/http/192.168.1.9:8081/hls/73/815/ch52.m3u8
大爱,http://61.219.170.95:18567/.m3u8
东风37,http://61.219.170.95:18560/.m3u8
东风卫视,http://61.219.170.95:18560/http/192.168.1.9:8081/hls/68/810/ch31.m3u8
东森超视,http://61.219.170.95:18555/.m3u8
非凡商业,http://61.219.170.95:18510/.m3u8
凤凰中文,http://61.219.170.95:18566/http/192.168.1.9:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://61.219.170.95:18566/.m3u8
凤凰资讯,http://61.219.170.95:18565/.m3u8
凤凰资讯,http://61.219.170.95:18565/http/192.168.1.9:8078/hls/20/80/phoenixif.m3u8
海峡卫视,http://61.219.170.95:18533/http/192.168.1.9:8077/hls/42/80/fjttv.m3u8
海峡卫视,http://61.219.170.95:18533/.m3u8
湖南卫视,http://61.219.170.95:18536/http/192.168.1.9:8078/hls/41/80/huana.m3u8
龙华电影,http://61.219.170.95:18574/.m3u8
龙华电影,http://61.219.170.95:18574/http/192.168.1.9:8066/hls/210/10014/cstv14.m3u8
龙华卡通,http://61.219.170.95:18600/.m3u8
龙华偶像,http://61.219.170.95:18573/.m3u8
龙华日韩,http://61.219.170.95:18508/.m3u8
龙华日韩,http://61.219.170.95:18508/http/192.168.1.9:8088/hls/15/80/foxsports2.m3u8
龙华戏剧,http://61.219.170.95:18507/.m3u8
年代MUCH,http://61.219.170.95:18558/.m3u8
人间卫视,http://61.219.170.95:18561/http/192.168.1.9:8081/hls/69/811/ch36.m3u8
人间卫视,http://61.219.170.95:18561/.m3u8
日本体育,http://61.219.170.95:18525/.m3u8
台视,http://61.219.170.95:18543/http/192.168.1.9:8081/hls/72/814/ch46.m3u8
台视,http://61.219.170.95:18543/.m3u8
纬来日本,http://61.219.170.95:18524/.m3u8
纬来戏剧,http://61.219.170.95:18557/http/192.168.1.9:8081/hls/69/811/ch33.m3u8
纬来戏剧,http://61.219.170.95:18557/.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch01.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch03.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch02.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch30.m3u8
纬来育乐,http://61.219.170.95:18541/.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch12.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch11.m3u8
纬来育乐,http://61.219.170.95:18541/http/192.168.1.9:8081/hls/68/810/ch09.m3u8
